sample,cell_barcode,clone_id
TP49-IR-1T,cell_1198,1
TP49-IR-1T,cell_1199,6
TP49-IR-1T,cell_12,2
TP49-IR-1T,cell_120,1
TP49-IR-1T,cell_1200,4
TP49-IR-1T,cell_1201,7
TP49-IR-1T,cell_1202,5
TP49-IR-1T,cell_1203,1
TP49-IR-1T,cell_1204,1
TP49-IR-1T,cell_1205,7
TP49-IR-1T,cell_1206,2
TP49-IR-1T,cell_1207,1
TP49-IR-1T,cell_1208,1
TP49-IR-1T,cell_1209,6
TP49-IR-1T,cell_121,1
TP49-IR-1T,cell_1210,1
TP49-IR-1T,cell_1211,2
TP49-IR-1T,cell_1212,1
TP49-IR-1T,cell_1213,7
TP49-IR-1T,cell_1214,6
TP49-IR-1T,cell_1215,4
TP49-IR-1T,cell_1216,1
TP49-IR-1T,cell_1217,1
TP49-IR-1T,cell_1218,2
TP49-IR-1T,cell_1219,2
TP49-IR-1T,cell_122,4
TP49-IR-1T,cell_1220,4
TP49-IR-1T,cell_1221,7
TP49-IR-1T,cell_1222,4
TP49-IR-1T,cell_1223,2
TP49-IR-1T,cell_1224,1
TP49-IR-1T,cell_1225,2
TP49-IR-1T,cell_1226,6
TP49-IR-1T,cell_1227,7
TP49-IR-1T,cell_1228,2
TP49-IR-1T,cell_1229,1
TP49-IR-1T,cell_123,4
TP49-IR-1T,cell_1230,2
TP49-IR-1T,cell_1231,3
TP49-IR-1T,cell_1232,4
TP49-IR-1T,cell_1233,6
TP49-IR-1T,cell_1234,4
TP49-IR-1T,cell_1235,1
TP49-IR-1T,cell_1236,4
TP49-IR-1T,cell_1237,1
TP49-IR-1T,cell_1238,6
TP49-IR-1T,cell_1239,1
TP49-IR-1T,cell_124,2
TP49-IR-1T,cell_1240,4
TP49-IR-1T,cell_1241,1
TP49-IR-1T,cell_1242,1
TP49-IR-1T,cell_1243,7
TP49-IR-1T,cell_1244,1
TP49-IR-1T,cell_1245,7
TP49-IR-1T,cell_1246,4
TP49-IR-1T,cell_1247,7
TP49-IR-1T,cell_1248,2
TP49-IR-1T,cell_1249,1
TP49-IR-1T,cell_125,1
TP49-IR-1T,cell_1250,4
TP49-IR-1T,cell_1251,1
TP49-IR-1T,cell_1252,4
TP49-IR-1T,cell_1253,4
TP49-IR-1T,cell_1254,6
TP49-IR-1T,cell_1255,7
TP49-IR-1T,cell_1256,2
TP49-IR-1T,cell_1257,1
TP49-IR-1T,cell_1258,1
TP49-IR-1T,cell_1259,2
TP49-IR-1T,cell_126,0
TP49-IR-1T,cell_1260,2
TP49-IR-1T,cell_1261,7
TP49-IR-1T,cell_1262,6
TP49-IR-1T,cell_1263,1
TP49-IR-1T,cell_1264,1
TP49-IR-1T,cell_1265,2
TP49-IR-1T,cell_1266,2
TP49-IR-1T,cell_1267,1
TP49-IR-1T,cell_1268,1
TP49-IR-1T,cell_1269,2
TP49-IR-1T,cell_127,4
TP49-IR-1T,cell_1270,4
TP49-IR-1T,cell_1271,6
TP49-IR-1T,cell_1272,2
TP49-IR-1T,cell_1273,4
TP49-IR-1T,cell_1274,1
TP49-IR-1T,cell_1275,7
TP49-IR-1T,cell_1276,0
TP49-IR-1T,cell_1277,1
TP49-IR-1T,cell_1278,1
TP49-IR-1T,cell_1279,7
TP49-IR-1T,cell_128,4
TP49-IR-1T,cell_1280,0
TP49-IR-1T,cell_1281,6
TP49-IR-1T,cell_1282,6
TP49-IR-1T,cell_1283,1
TP49-IR-1T,cell_1284,2
TP49-IR-1T,cell_1285,4
TP49-IR-1T,cell_1286,1
TP49-IR-1T,cell_1287,4
TP49-IR-1T,cell_1288,1
TP49-IR-1T,cell_1289,1
TP49-IR-1T,cell_129,2
TP49-IR-1T,cell_1290,2
TP49-IR-1T,cell_1291,1
TP49-IR-1T,cell_1292,2
TP49-IR-1T,cell_1293,1
TP49-IR-1T,cell_1294,1
TP49-IR-1T,cell_1295,1
TP49-IR-1T,cell_1296,6
TP49-IR-1T,cell_1297,6
TP49-IR-1T,cell_1298,2
TP49-IR-1T,cell_1299,7
TP49-IR-1T,cell_13,7
TP49-IR-1T,cell_130,4
TP49-IR-1T,cell_1300,7
TP49-IR-1T,cell_1301,4
