,cell_barcode,clone_id
M11-1,cell_1499,3
M11-1,cell_15,4
M11-1,cell_150,1
M11-1,cell_1500,4
M11-1,cell_1501,1
M11-1,cell_1502,1
M11-1,cell_1503,1
M11-1,cell_1504,1
M11-1,cell_1505,4
M11-1,cell_1506,1
M11-1,cell_1507,4
M11-1,cell_1508,3
M11-1,cell_1509,3
M11-1,cell_151,4
M11-1,cell_1510,3
M11-1,cell_1511,4
M11-1,cell_1512,1
M11-1,cell_1513,1
M11-1,cell_1514,3
M11-1,cell_1515,3
M11-1,cell_1516,3
M11-1,cell_1517,4
M11-1,cell_1518,4
M11-1,cell_1519,4
M11-1,cell_152,1
M11-1,cell_1520,4
M11-1,cell_1521,4
M11-1,cell_1522,4
M11-1,cell_1523,4
M11-1,cell_1524,3
M11-1,cell_1525,4
M11-1,cell_1526,1
M11-1,cell_1527,3
M11-1,cell_1528,1
M11-1,cell_1529,1
M11-1,cell_153,1
M11-1,cell_1530,1
M11-1,cell_1531,3
M11-1,cell_1532,1
M11-1,cell_1533,4
M11-1,cell_1534,4
M11-1,cell_1535,3
M11-1,cell_1536,1
M11-1,cell_1537,1
M11-1,cell_1538,4
M11-1,cell_1539,1
M11-1,cell_154,1
M11-1,cell_1540,4
M11-1,cell_1541,4
M11-1,cell_1542,3
M11-1,cell_1543,3
M11-1,cell_1544,4
M11-1,cell_1545,4
M11-1,cell_1546,1
M11-1,cell_1547,3
M11-1,cell_1548,3
M11-1,cell_1549,4
M11-1,cell_155,8
M11-1,cell_1550,1
M11-1,cell_1551,4
M11-1,cell_1552,4
M11-1,cell_1553,4
M11-1,cell_1554,1
M11-1,cell_1555,3
M11-1,cell_1556,3
M11-1,cell_1557,4
M11-1,cell_1558,4
M11-1,cell_1559,4
M11-1,cell_156,3
M11-1,cell_1560,4
M11-1,cell_1561,4
M11-1,cell_1562,4
M11-1,cell_1563,3
M11-1,cell_1564,1
M11-1,cell_1565,1
M11-1,cell_1566,3
M11-1,cell_1567,4
M11-1,cell_1568,4
M11-1,cell_1569,3
M11-1,cell_157,3
M11-1,cell_1570,1
M11-1,cell_1571,3
M11-1,cell_1572,3
M11-1,cell_1573,4
M11-1,cell_1574,1
M11-1,cell_1575,4
M11-1,cell_1576,1
M11-1,cell_1577,3
M11-1,cell_1578,4
M11-1,cell_1579,1
M11-1,cell_158,1
M11-1,cell_1580,3
M11-1,cell_1581,4
M11-1,cell_1582,4
M11-1,cell_1583,3
M11-1,cell_1584,4
M11-1,cell_1585,4
M11-1,cell_1586,3
M11-1,cell_1587,1
M11-1,cell_1588,4
M11-1,cell_1589,4
M11-1,cell_159,1
M11-1,cell_1590,4
M11-1,cell_1591,1
M11-1,cell_1592,1
M11-1,cell_1593,1
M11-1,cell_1594,3
M11-1,cell_1595,4
M11-1,cell_1596,4
M11-1,cell_1597,4
M11-1,cell_1598,4
M11-1,cell_1599,3
M11-1,cell_16,3
M11-1,cell_160,4
M11-1,cell_1600,4
M11-1,cell_1601,3
M11-1,cell_1602,3
M11-1,cell_1603,4
M11-1,cell_1604,3
M11-1,cell_1605,3
M11-1,cell_1606,4
M11-1,cell_1607,3
M11-1,cell_1608,4
M11-1,cell_1609,4
M11-1,cell_161,1
M11-1,cell_1610,3
M11-1,cell_1611,1
M11-1,cell_1612,3
M11-1,cell_1613,3
M11-1,cell_1614,4
M11-1,cell_1615,3
M11-1,cell_1616,1
M11-1,cell_1617,4
M11-1,cell_1618,4
M11-1,cell_1619,4
M11-1,cell_162,1
M11-1,cell_1620,3
M11-1,cell_1621,3
M11-1,cell_1622,4
M11-1,cell_1623,4
M11-1,cell_1624,3
M11-1,cell_1625,1
M11-1,cell_1626,4
M11-1,cell_1627,1
M11-1,cell_1628,3
M11-1,cell_1629,1
M11-1,cell_163,3
M11-1,cell_1630,3
M11-1,cell_1631,3
M11-1,cell_1632,3
M11-1,cell_1633,4
M11-1,cell_1634,4
M11-1,cell_1635,4
