,cell_barcode,clone_id
TP6-1T,cell_1294,8
TP6-1T,cell_1295,8
TP6-1T,cell_1296,8
TP6-1T,cell_1297,1
TP6-1T,cell_1298,1
TP6-1T,cell_1299,8
TP6-1T,cell_13,8
TP6-1T,cell_130,6
TP6-1T,cell_1300,8
TP6-1T,cell_1301,8
TP6-1T,cell_1302,1
TP6-1T,cell_1303,8
TP6-1T,cell_1304,8
TP6-1T,cell_1305,1
TP6-1T,cell_1306,1
TP6-1T,cell_1307,6
TP6-1T,cell_1308,1
TP6-1T,cell_1309,8
TP6-1T,cell_131,6
TP6-1T,cell_1310,1
TP6-1T,cell_1311,8
TP6-1T,cell_1312,8
TP6-1T,cell_1313,1
TP6-1T,cell_1314,6
TP6-1T,cell_1315,6
TP6-1T,cell_1316,8
TP6-1T,cell_1317,8
TP6-1T,cell_1318,1
TP6-1T,cell_1319,6
TP6-1T,cell_132,6
TP6-1T,cell_1320,1
TP6-1T,cell_1321,6
TP6-1T,cell_1322,1
TP6-1T,cell_1323,8
TP6-1T,cell_1324,1
TP6-1T,cell_1325,1
TP6-1T,cell_1326,6
TP6-1T,cell_1327,6
TP6-1T,cell_1328,8
TP6-1T,cell_1329,8
TP6-1T,cell_133,8
TP6-1T,cell_1330,8
TP6-1T,cell_1331,7
TP6-1T,cell_1332,8
TP6-1T,cell_1333,8
TP6-1T,cell_1334,8
TP6-1T,cell_1335,8
TP6-1T,cell_1336,8
TP6-1T,cell_1337,8
TP6-1T,cell_1338,1
TP6-1T,cell_1339,8
TP6-1T,cell_134,1
TP6-1T,cell_1340,8
TP6-1T,cell_1341,1
TP6-1T,cell_1342,8
TP6-1T,cell_1343,1
TP6-1T,cell_1344,8
TP6-1T,cell_1345,8
TP6-1T,cell_1346,1
TP6-1T,cell_1347,6
TP6-1T,cell_1348,8
TP6-1T,cell_1349,8
TP6-1T,cell_135,8
TP6-1T,cell_1350,8
TP6-1T,cell_1351,1
TP6-1T,cell_1352,8
TP6-1T,cell_1353,8
TP6-1T,cell_1354,8
TP6-1T,cell_1355,8
TP6-1T,cell_1356,6
TP6-1T,cell_1357,8
TP6-1T,cell_1358,8
TP6-1T,cell_1359,8
TP6-1T,cell_136,6
TP6-1T,cell_1360,1
TP6-1T,cell_1361,6
TP6-1T,cell_1362,6
TP6-1T,cell_1363,8
TP6-1T,cell_1364,8
TP6-1T,cell_1365,1
TP6-1T,cell_1366,8
TP6-1T,cell_1367,6
TP6-1T,cell_1368,8
TP6-1T,cell_1369,1
TP6-1T,cell_137,1
TP6-1T,cell_1370,1
TP6-1T,cell_1371,8
TP6-1T,cell_1372,8
TP6-1T,cell_1373,8
TP6-1T,cell_1374,8
TP6-1T,cell_1375,8
TP6-1T,cell_1376,8
TP6-1T,cell_1377,8
TP6-1T,cell_1378,8
TP6-1T,cell_1379,1
TP6-1T,cell_138,8
TP6-1T,cell_1380,8
TP6-1T,cell_1381,8
TP6-1T,cell_1382,1
TP6-1T,cell_1383,8
TP6-1T,cell_1384,8
TP6-1T,cell_1385,8
TP6-1T,cell_1386,1
TP6-1T,cell_1387,8
TP6-1T,cell_1388,8
TP6-1T,cell_1389,8
TP6-1T,cell_139,6
TP6-1T,cell_1390,8
TP6-1T,cell_1391,8
TP6-1T,cell_1392,6
TP6-1T,cell_1393,1
TP6-1T,cell_1394,1
TP6-1T,cell_1395,8
TP6-1T,cell_1396,6
TP6-1T,cell_1397,1
TP6-1T,cell_1398,1
TP6-1T,cell_1399,1
TP6-1T,cell_14,6
TP6-1T,cell_140,8
TP6-1T,cell_1400,1
TP6-1T,cell_1401,6
TP6-1T,cell_1402,1
TP6-1T,cell_1403,8
TP6-1T,cell_1404,1
TP6-1T,cell_1405,8
TP6-1T,cell_1406,8
TP6-1T,cell_1407,1
TP6-1T,cell_1408,8
TP6-1T,cell_1409,8
TP6-1T,cell_141,6
TP6-1T,cell_1410,6
TP6-1T,cell_1411,8
TP6-1T,cell_1412,8
TP6-1T,cell_1413,8
TP6-1T,cell_1414,8
TP6-1T,cell_1415,6
TP6-1T,cell_1416,1
TP6-1T,cell_1417,6
TP6-1T,cell_1418,1
TP6-1T,cell_1419,8
TP6-1T,cell_142,8
TP6-1T,cell_1420,8
TP6-1T,cell_1421,6
TP6-1T,cell_1422,6
TP6-1T,cell_1423,1
TP6-1T,cell_1424,8
TP6-1T,cell_1425,8
TP6-1T,cell_1426,8
TP6-1T,cell_1427,8
TP6-1T,cell_1428,6
TP6-1T,cell_1429,1
TP6-1T,cell_143,8
TP6-1T,cell_1430,1
TP6-1T,cell_1431,1
TP6-1T,cell_1432,1
TP6-1T,cell_1433,8
TP6-1T,cell_1434,8
TP6-1T,cell_1435,8
TP6-1T,cell_1436,8
TP6-1T,cell_1437,8
TP6-1T,cell_1438,8
TP6-1T,cell_1439,1
TP6-1T,cell_144,8
