sample_name,cell_barcode,final_clone_id
BPA-1-RSX,cell_737,1
BPA-1-RSX,cell_755,1
BPA-1-RSX,cell_757,1
BPA-1-RSX,cell_760,1
BPA-1-RSX,cell_765,1
BPA-1-RSX,cell_767,1
BPA-1-RSX,cell_770,1
BPA-1-RSX,cell_787,1
BPA-1-RSX,cell_796,1
BPA-1-RSX,cell_83,1
BPA-1-RSX,cell_84,1
BPA-1-RSX,cell_840,1
BPA-1-RSX,cell_851,1
BPA-1-RSX,cell_863,1
BPA-1-RSX,cell_878,1
BPA-1-RSX,cell_910,1
BPA-1-RSX,cell_933,1
BPA-1-RSX,cell_935,1
BPA-1-RSX,cell_98,1
BPA-1-IR,cell_71,2
BPA-1-IR,cell_103,2
BPA-1-IR,cell_337,2
BPA-1-IR,cell_541,2
BPA-1-IR,cell_85,2
BPA-1-IR,cell_485,2
BPA-1-IR,cell_168,2
BPA-1-IR,cell_259,2
BPA-1-IR,cell_420,2
BPA-1-IR,cell_164,2
BPA-1-IR,cell_368,2
BPA-1-IR,cell_155,2
BPA-1-IR,cell_341,2
BPA-1-IR,cell_433,2
BPA-1-IR,cell_76,2
BPA-1-IR,cell_191,2
BPA-1-IR,cell_263,2
BPA-1-IR,cell_274,2
BPA-1-IR,cell_23,2
BPA-1-IR,cell_81,2
BPA-1-IR,cell_343,2
BPA-1-IR,cell_118,2
BPA-1-IR,cell_234,2
BPA-1-IR,cell_323,2
BPA-1-IR,cell_521,2
BPA-1-IR,cell_557,2
BPA-1-IR,cell_167,2
BPA-1-IR,cell_41,2
BPA-1-IR,cell_170,2
BPA-1-IR,cell_215,2
BPA-1-IR,cell_288,2
BPA-1-IR,cell_618,2
BPA-1-IR,cell_327,2
BPA-1-IR,cell_175,2
BPA-1-IR,cell_310,2
BPA-1-IR,cell_518,2
BPA-1-IR,cell_601,2
BPA-1-IR,cell_454,2
BPA-1-IR,cell_107,2
BPA-1-IR,cell_499,2
BPA-1-IR,cell_344,2
BPA-1-IR,cell_29,2
BPA-1-IR,cell_539,2
BPA-1-IR,cell_140,2
BPA-1-IR,cell_520,2
BPA-1-IR,cell_42,2
BPA-1-IR,cell_190,2
BPA-1-IR,cell_333,2
BPA-1-IR,cell_530,2
BPA-1-IR,cell_4,2
BPA-1-IR,cell_432,2
BPA-1-IR,cell_595,2
BPA-1-IR,cell_615,2
BPA-1-IR,cell_40,2
BPA-1-IR,cell_160,2
BPA-1-IR,cell_622,2
BPA-1-IR,cell_205,2
BPA-1-IR,cell_456,2
BPA-1-IR,cell_524,2
BPA-1-IR,cell_575,2
BPA-1-IR,cell_240,2
BPA-1-IR,cell_216,2
BPA-1-IR,cell_67,2
BPA-1-IR,cell_578,2
BPA-1-IR,cell_321,2
BPA-1-IR,cell_566,2
BPA-1-IR,cell_316,2
BPA-1-IR,cell_388,2
BPA-1-IR,cell_355,2
BPA-1-IR,cell_116,2
BPA-1-IR,cell_265,2
BPA-1-IR,cell_256,2
BPA-1-IR,cell_273,2
BPA-1-IR,cell_561,2
BPA-1-IR,cell_525,2
BPA-1-IR,cell_6,2
BPA-1-IR,cell_570,2
BPA-1-IR,cell_206,2
BPA-1-IR,cell_469,2
BPA-1-IR,cell_439,2
BPA-1-IR,cell_46,2
BPA-1-IR,cell_426,2
BPA-1-IR,cell_607,2
BPA-1-IR,cell_417,2
BPA-1-IR,cell_411,2
BPA-1-IR,cell_491,2
BPA-1-IR,cell_32,2
