sample,cell_barcode,clone_id
M12-3,cell_534,1
M12-3,cell_1536,1
M12-3,cell_930,1
M12-3,cell_15,1
M12-3,cell_1752,1
M12-3,cell_1574,1
M12-3,cell_1638,1
M12-3,cell_456,1
M12-3,cell_721,1
M12-3,cell_1633,1
M12-3,cell_1247,1
M12-3,cell_2162,1
M12-3,cell_312,1
M12-3,cell_1933,1
M12-3,cell_1004,1
M12-3,cell_655,1
M12-3,cell_1440,1
M12-3,cell_1113,1
M12-3,cell_1887,1
M12-3,cell_1107,1
M12-3,cell_2213,1
M12-3,cell_1926,1
M12-3,cell_1753,1
M12-3,cell_379,1
M12-3,cell_1927,1
M12-3,cell_1649,1
M12-3,cell_217,1
M12-3,cell_2167,1
M12-3,cell_2210,1
M12-3,cell_2277,1
M12-3,cell_1945,1
M12-3,cell_1245,1
M12-3,cell_377,1
M12-3,cell_2263,1
M12-3,cell_323,1
M12-3,cell_681,1
M12-3,cell_2157,1
M12-3,cell_2013,1
M12-3,cell_1626,1
M12-3,cell_1240,1
M12-3,cell_1968,1
M12-3,cell_2193,1
M12-3,cell_125,1
M12-3,cell_1984,1
M12-3,cell_1561,1
M12-3,cell_739,1
M12-3,cell_1785,1
M12-3,cell_1921,1
M12-3,cell_1062,1
M12-3,cell_899,1
M12-3,cell_1367,1
M12-3,cell_1347,1
M12-3,cell_34,1
M12-3,cell_633,1
M12-3,cell_298,1
M12-3,cell_1813,1
M12-3,cell_1100,1
M12-3,cell_659,1
M12-3,cell_1692,1
M12-3,cell_1497,1
M12-3,cell_722,1
M12-3,cell_870,1
M12-3,cell_1513,1
M12-3,cell_846,1
M12-3,cell_1124,1
M12-3,cell_936,1
M12-3,cell_1230,1
M12-3,cell_2237,1
M12-3,cell_905,1
M12-3,cell_638,1
M12-3,cell_798,1
M12-3,cell_1501,1
M12-3,cell_50,1
M12-3,cell_1392,1
M12-3,cell_713,1
M12-3,cell_778,1
M12-3,cell_189,1
M12-3,cell_1226,1
M12-3,cell_46,1
M12-3,cell_818,1
M12-3,cell_646,1
M12-3,cell_1257,1
M12-3,cell_867,1
M12-3,cell_2103,1
M12-3,cell_917,1
M12-3,cell_16,1
M12-3,cell_654,1
M12-3,cell_1309,1
M12-3,cell_967,1
M12-3,cell_2282,1
M12-3,cell_1460,1
M12-3,cell_1746,1
M12-3,cell_1386,1
M12-3,cell_162,1
M12-3,cell_422,1
M12-3,cell_1570,1
M12-3,cell_415,1
M12-3,cell_1285,1
M12-3,cell_2045,1
M12-3,cell_160,1
M12-3,cell_628,1
M12-3,cell_834,1
M12-3,cell_1300,1
M12-3,cell_1204,1
M12-3,cell_2202,1
M12-3,cell_33,1
M12-3,cell_1912,1
M12-3,cell_2220,1
M12-3,cell_763,1
M12-3,cell_26,1
M12-3,cell_2049,1
M12-3,cell_556,1
M12-3,cell_2025,1
M12-3,cell_503,1
M12-3,cell_1407,1
M12-3,cell_2081,1
M12-3,cell_679,1
M12-3,cell_2044,1
M12-3,cell_1982,1
M12-3,cell_1490,1
M12-3,cell_2223,1
M12-3,cell_1195,1
M12-3,cell_1696,1
M12-3,cell_1889,1
M12-3,cell_615,1
M12-3,cell_2208,1
M12-3,cell_338,1
M12-3,cell_1183,1
M12-3,cell_1799,1
M12-3,cell_762,1
M12-3,cell_1203,1
M12-3,cell_1717,1
M12-3,cell_2033,1
M12-3,cell_1781,1
M12-3,cell_939,1
M12-3,cell_2147,1
M12-3,cell_299,1
M12-3,cell_2199,1
M12-3,cell_1905,1
M12-3,cell_17,1
M12-3,cell_1413,1
M12-3,cell_2039,1
M12-3,cell_636,1
M12-3,cell_2113,1
M12-3,cell_1811,1
M12-3,cell_1848,1
M12-3,cell_717,1
M12-3,cell_1790,1
M12-3,cell_2098,1
M12-3,cell_1080,1
M12-3,cell_2198,1
M12-3,cell_687,1
M12-3,cell_931,1
M12-3,cell_1505,1
M12-3,cell_1679,1
M12-3,cell_1769,1
M12-3,cell_59,1
M12-3,cell_927,1
M12-3,cell_1473,1
M12-3,cell_602,1
M12-3,cell_574,1
M12-3,cell_1308,1
M12-3,cell_968,1
M12-3,cell_737,1
M12-3,cell_1772,1
M12-3,cell_2029,1
M12-3,cell_470,1
M12-3,cell_2173,1
M12-3,cell_1056,1
M12-3,cell_484,1
M12-3,cell_2121,1
M12-3,cell_2058,1
M12-3,cell_1428,1
M12-3,cell_246,1
M12-3,cell_1627,1
M12-3,cell_564,1
M12-3,cell_1911,1
M12-3,cell_1362,1
M12-3,cell_1623,1
M12-3,cell_1913,1
M12-3,cell_1736,1
M12-3,cell_2083,1
M12-3,cell_850,1
M12-3,cell_2218,1
M12-3,cell_305,1
M12-3,cell_2243,1
M12-3,cell_1057,1
M12-3,cell_1067,1
M12-3,cell_1745,1
M12-3,cell_468,1
M12-3,cell_772,1
M12-3,cell_1858,1
M12-3,cell_723,1
M12-3,cell_1116,1
M12-3,cell_2287,1
M12-3,cell_404,1
M12-3,cell_552,1
M12-3,cell_1003,1
M12-3,cell_1031,1
M12-3,cell_52,1
M12-3,cell_971,1
M12-3,cell_198,1
M12-3,cell_1369,1
M12-3,cell_775,1
M12-3,cell_380,1
M12-3,cell_1924,1
M12-3,cell_155,1
M12-3,cell_1978,1
M12-3,cell_430,1
M12-3,cell_857,1
M12-3,cell_1380,1
M12-3,cell_1459,1
M12-3,cell_597,1
M12-3,cell_1070,1
M12-3,cell_1548,1
M12-3,cell_138,1
M12-3,cell_1417,1
M12-3,cell_554,1
M12-3,cell_1495,1
M12-3,cell_262,1
M12-3,cell_1656,1
M12-3,cell_685,1
M12-3,cell_261,1
M12-3,cell_603,1
M12-3,cell_1303,1
M12-3,cell_1034,1
M12-3,cell_2154,1
M12-3,cell_1330,1
M12-3,cell_79,1
M12-3,cell_890,1
M12-3,cell_660,1
M12-3,cell_1937,1
M12-3,cell_2105,1
M12-3,cell_1337,1
M12-3,cell_599,1
M12-3,cell_2085,1
M12-3,cell_1874,1
M12-3,cell_569,1
M12-3,cell_242,1
M12-3,cell_1446,1
M12-3,cell_2140,1
M12-3,cell_116,1
M12-3,cell_514,1
M12-3,cell_1899,1
M12-3,cell_2179,1
M12-3,cell_998,1
M12-3,cell_1317,1
M12-3,cell_111,1
M12-3,cell_427,1
M12-3,cell_1689,1
M12-3,cell_437,1
M12-3,cell_480,1
M12-3,cell_941,1
M12-3,cell_2094,1
M12-3,cell_251,1
M12-3,cell_459,1
M12-3,cell_742,1
M12-3,cell_443,1
M12-3,cell_2005,1
M12-3,cell_2133,1
M12-3,cell_753,1
M12-3,cell_1278,1
M12-3,cell_129,1
M12-3,cell_245,1
M12-3,cell_1274,1
M12-3,cell_429,1
M12-3,cell_1458,1
M12-3,cell_902,1
M12-3,cell_442,1
M12-3,cell_2187,1
M12-3,cell_1425,1
M12-3,cell_1333,1
M12-3,cell_1384,1
M12-3,cell_806,1
M12-3,cell_1131,1
M12-3,cell_1281,1
M12-3,cell_2170,1
M12-3,cell_2000,1
M12-3,cell_286,1
M12-3,cell_431,1
M12-3,cell_1762,1
M12-3,cell_707,1
M12-3,cell_844,1
M12-3,cell_1840,1
M12-3,cell_1963,1
M12-3,cell_1595,1
M12-3,cell_749,1
M12-3,cell_900,1
M12-3,cell_1187,1
M12-3,cell_2169,1
M12-3,cell_691,1
M12-3,cell_154,1
M12-3,cell_1171,1
M12-3,cell_1931,1
M12-3,cell_374,1
M12-3,cell_1002,1
M12-3,cell_1255,1
M12-3,cell_622,1
M12-3,cell_2011,1
M12-3,cell_1644,1
M12-3,cell_983,1
M12-3,cell_1780,1
M12-3,cell_736,1
M12-3,cell_1923,1
M12-3,cell_1092,1
M12-3,cell_839,1
M12-3,cell_2247,1
M12-3,cell_447,1
M12-3,cell_1387,1
M12-3,cell_296,1
M12-3,cell_100,1
M12-3,cell_1755,1
M12-3,cell_1182,1
M12-3,cell_2246,1
M12-3,cell_932,1
M12-3,cell_733,1
M12-3,cell_1883,1
M12-3,cell_1035,1
M12-3,cell_2292,1
M12-3,cell_166,1
M12-3,cell_149,1
M12-3,cell_1315,1
M12-3,cell_1405,1
M12-3,cell_1426,1
M12-3,cell_937,1
M12-3,cell_1327,1
M12-3,cell_2195,1
M12-3,cell_461,1
M12-3,cell_1929,1
M12-3,cell_1826,1
M12-3,cell_2070,1
M12-3,cell_715,1
M12-3,cell_918,1
M12-3,cell_1015,1
M12-3,cell_1761,1
M12-3,cell_1854,1
M12-3,cell_2064,1
M12-3,cell_1837,1
M12-3,cell_2258,1
M12-3,cell_1512,1
M12-3,cell_1645,1
M12-3,cell_64,1
M12-3,cell_2010,1
M12-3,cell_922,1
M12-3,cell_1243,1
M12-3,cell_2012,1
M12-3,cell_1559,1
M12-3,cell_604,1
M12-3,cell_1415,1
M12-3,cell_213,1
M12-3,cell_1095,1
M12-3,cell_1214,1
M12-3,cell_405,1
M12-3,cell_355,1
M12-3,cell_652,1
M12-3,cell_336,1
M12-3,cell_1410,1
M12-3,cell_1613,1
M12-3,cell_582,1
M12-3,cell_1471,1
M12-3,cell_1951,1
M12-3,cell_406,1
M12-3,cell_226,1
M12-3,cell_367,1
M12-3,cell_1223,1
M12-3,cell_1879,1
M12-3,cell_771,1
M12-3,cell_539,1
M12-3,cell_1199,1
M12-3,cell_1646,1
M12-3,cell_1593,1
M12-3,cell_1437,1
M12-3,cell_551,1
M12-3,cell_1118,1
M12-3,cell_1454,1
M12-3,cell_634,1
M12-3,cell_1567,1
M12-3,cell_2153,1
M12-3,cell_42,1
M12-3,cell_1322,1
M12-3,cell_1026,1
M12-3,cell_504,1
M12-3,cell_635,1
M12-3,cell_2151,1
M12-3,cell_1662,1
M12-3,cell_517,1
M12-3,cell_2174,1
M12-3,cell_165,1
M12-3,cell_909,1
M12-3,cell_1514,1
M12-3,cell_2149,1
M12-3,cell_1520,1
M12-3,cell_1482,1
M12-3,cell_536,1
M12-3,cell_1201,1
M12-3,cell_88,1
M12-3,cell_768,1
M12-3,cell_496,1
M12-3,cell_1586,1
M12-3,cell_212,1
M12-3,cell_39,1
M12-3,cell_1685,1
M12-3,cell_975,1
M12-3,cell_1734,1
M12-3,cell_140,1
M12-3,cell_1855,1
M12-3,cell_1283,1
M12-3,cell_2209,1
M12-3,cell_457,1
M12-3,cell_1047,1
M12-3,cell_1569,1
M12-3,cell_1961,1
M12-3,cell_1165,1
M12-3,cell_1239,1
M12-3,cell_340,1
M12-3,cell_1952,1
M12-3,cell_1262,1
M12-3,cell_1377,1
M12-3,cell_665,1
M12-3,cell_662,1
M12-3,cell_1224,1
M12-3,cell_1965,1
M12-3,cell_2042,1
M12-3,cell_1260,1
M12-3,cell_1828,1
M12-3,cell_1096,1
M12-3,cell_2293,1
M12-3,cell_793,1
M12-3,cell_688,1
M12-3,cell_2117,1
M12-3,cell_783,1
M12-3,cell_2134,1
M12-3,cell_51,1
M12-3,cell_1342,1
M12-3,cell_1419,1
M12-3,cell_953,1
M12-3,cell_1936,1
M12-3,cell_1577,1
M12-3,cell_1449,1
M12-3,cell_1812,1
M12-3,cell_1830,1
M12-3,cell_587,1
M12-3,cell_1901,1
M12-3,cell_518,1
M12-3,cell_1996,1
M12-3,cell_751,1
M12-3,cell_2186,1
M12-3,cell_432,1
M12-3,cell_644,1
M12-3,cell_2021,1
M12-3,cell_3,1
M12-3,cell_1862,1
M12-3,cell_1389,1
M12-3,cell_96,1
M12-3,cell_1142,1
M12-3,cell_1264,1
M12-3,cell_1653,1
M12-3,cell_1740,1
M12-3,cell_1511,1
M12-3,cell_726,1
M12-3,cell_1229,1
M12-3,cell_2188,1
M12-3,cell_875,1
M12-3,cell_2127,1
M12-3,cell_682,1
M12-3,cell_1515,1
M12-3,cell_1975,1
M12-3,cell_222,1
M12-3,cell_1763,1
M12-3,cell_770,1
M12-3,cell_71,1
M12-3,cell_641,1
M12-3,cell_1076,1
M12-3,cell_1728,1
M12-3,cell_1672,1
M12-3,cell_2285,1
M12-3,cell_2265,1
M12-3,cell_61,1
M12-3,cell_2286,1
M12-3,cell_2152,1
M12-3,cell_205,1
M12-3,cell_2146,1
M12-3,cell_779,1
M12-3,cell_601,1
M12-3,cell_561,1
M12-3,cell_683,1
M12-3,cell_1168,1
M12-3,cell_2281,1
M12-3,cell_884,1
M12-3,cell_1153,1
M12-3,cell_1676,1
M12-3,cell_1465,1
